cycle,setting1,setting2,setting3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,ttf
155,-0.0013,0.0005,100.0,518.67,643.05,1588.4,1418.81,14.62,21.61,552.39,2388.16,9046.81,1.3,47.61,520.61,2388.2,8130.89,8.4631,0.03,394,2388,100.0,38.74,23.1329,55
138,0.0032,0.0003,100.0,518.67,643.39,1604.19,1417.2,14.62,21.61,552.51,2388.18,9051.42,1.3,47.95,520.42,2388.15,8129.88,8.4864,0.03,393,2388,100.0,38.68,23.1407,32
93,0.0012,-0.0002,100.0,518.67,642.64,1600.04,1412.99,14.62,21.61,553.25,2388.16,9040.84,1.3,47.59,521.29,2388.16,8122.66,8.4484,0.03,394,2388,100.0,38.68,23.2533,57
160,0.0007,0.0004,100.0,518.67,643.04,1599.27,1412.75,14.62,21.61,553.24,2388.16,9038.94,1.3,47.56,520.77,2388.18,8120.11,8.443,0.03,394,2388,100.0,38.86,23.2349,53
73,0.0001,0.0001,100.0,518.67,642.35,1588.43,1409.32,14.62,21.61,554.1,2388.15,9058.6,1.3,47.4,521.85,2388.08,8137.42,8.4666,0.03,394,2388,100.0,39.17,23.2982,116
87,-0.0022,0.0001,100.0,518.67,641.88,1583.15,1399.51,14.62,21.61,555.04,2388.06,9060.79,1.3,47.27,522.42,2388.02,8143.58,8.3898,0.03,391,2388,100.0,39.07,23.4565,113
188,-0.0005,-0.0003,100.0,518.67,643.33,1598.92,1425.12,14.62,21.61,551.75,2388.12,9141.02,1.3,47.99,519.77,2388.19,8204.76,8.5051,0.03,396,2388,100.0,38.67,23.052,6
233,0.0012,-0.0,100.0,518.67,643.2,1584.32,1407.07,14.62,21.61,553.63,2388.12,9057.75,1.3,47.63,521.27,2388.09,8135.41,8.4183,0.03,393,2388,100.0,38.65,23.24,103
208,0.0063,-0.0001,100.0,518.67,643.28,1593.1,1418.13,14.62,21.61,552.12,2388.21,9100.1,1.3,47.98,520.09,2388.2,8171.64,8.485,0.03,396,2388,100.0,38.54,23.3365,14
174,-0.0001,-0.0002,100.0,518.67,642.64,1599.81,1422.58,14.62,21.61,552.32,2388.22,9041.25,1.3,48.0,520.22,2388.21,8119.17,8.4476,0.03,393,2388,100.0,38.57,23.0357,18
237,-0.0045,0.0002,100.0,518.67,642.35,1585.43,1415.45,14.62,21.61,553.06,2388.11,9062.26,1.3,47.69,521.36,2388.08,8133.31,8.4308,0.03,391,2388,100.0,38.81,23.3268,125
142,0.0004,-0.0,100.0,518.67,642.56,1589.95,1414.78,14.62,21.61,552.74,2388.15,9052.15,1.3,47.62,520.81,2388.15,8130.07,8.457,0.03,393,2388,100.0,38.6,23.2029,46
72,0.0012,0.0002,100.0,518.67,642.37,1593.96,1409.63,14.62,21.61,553.82,2388.07,9060.16,1.3,47.55,521.63,2388.08,8140.26,8.4078,0.03,393,2388,100.0,38.84,23.3882,102
141,0.003,0.0004,100.0,518.67,643.28,1591.59,1407.34,14.62,21.61,553.18,2388.09,9065.46,1.3,47.69,521.22,2388.07,8153.29,8.4582,0.03,394,2388,100.0,38.56,23.1826,53
150,0.0017,0.0004,100.0,518.67,643.59,1593.13,1428.51,14.62,21.61,550.94,2388.27,9045.59,1.3,47.99,520.07,2388.32,8113.95,8.5321,0.03,395,2388,100.0,38.47,23.1119,3
137,0.0009,0.0001,100.0,518.67,642.53,1600.35,1406.64,14.62,21.6,553.55,2388.05,9070.77,1.3,47.46,520.94,2388.11,8146.74,8.4547,0.03,392,2388,100.0,38.98,23.3359,62
99,-0.0013,0.0004,100.0,518.67,642.04,1574.3,1401.13,14.62,21.61,554.32,2388.0,9058.68,1.3,47.32,521.94,2388.08,8140.64,8.3914,0.03,393,2388,100.0,39.12,23.4611,103
199,-0.0004,-0.0,100.0,518.67,643.76,1597.4,1428.75,14.62,21.61,551.86,2388.33,9029.54,1.3,48.03,520.08,2388.26,8110.4,8.497,0.03,395,2388,100.0,38.49,23.1716,14
157,0.0033,-0.0002,100.0,518.67,642.41,1585.54,1408.52,14.62,21.61,553.75,2388.06,9055.99,1.3,47.41,521.78,2388.09,8133.51,8.4057,0.03,393,2388,100.0,38.98,23.3122,99
